iter	MAE
0	0.06920560598
1	0.06905092487
2	0.06895755866
3	0.06888800455
4	0.06881956948
5	0.06878693846
6	0.06875524765
7	0.06872917239
8	0.06869136796
9	0.06865800278
10	0.06864208795
11	0.06861247137
12	0.06859147738
13	0.06857766375
14	0.06855444639
15	0.06853909752
16	0.06853130508
17	0.06852332553
18	0.06850911199
19	0.06848870198
20	0.06847878565
21	0.06846621565
22	0.06844942283
23	0.06844592122
24	0.06843855486
25	0.06842864463
26	0.06841924686
27	0.06841710038
28	0.06840919355
29	0.06839925916
30	0.06839591343
31	0.06839006078
32	0.06838493101
33	0.06837761202
34	0.06837488708
35	0.06837015239
36	0.06836060978
37	0.06835242694
38	0.06834556229
39	0.06834428504
40	0.06834116022
41	0.06833736193
42	0.0683315883
43	0.06832346693
44	0.06831718887
45	0.0683169808
46	0.06831097815
47	0.06830573127
48	0.06830116706
49	0.06829578419
50	0.06829415495
51	0.06828863148
52	0.06828483931
53	0.06828163262
54	0.06827592685
55	0.06827087535
56	0.06826801869
57	0.06826254576
58	0.06825939315
59	0.06825535769
60	0.06825355594
61	0.0682503613
62	0.06824749895
63	0.06824082954
64	0.06823661566
65	0.06823427532
66	0.06823358939
67	0.06823111202
68	0.06822798156
69	0.06822649805
70	0.0682223372
71	0.06821688085
72	0.06821600374
73	0.06821427693
74	0.06820955866
75	0.06820629199
76	0.06820222682
77	0.06819939949
78	0.06819771994
79	0.06819722808
80	0.06819380873
81	0.06819228017
82	0.06818648636
83	0.06818562143
84	0.0681811223
85	0.0681788833
86	0.06817349903
87	0.06817284242
88	0.06817259626
89	0.06817039733
90	0.0681677848
91	0.06816295423
92	0.0681594844
93	0.0681594843
94	0.06815782935
95	0.06815424012
96	0.06815144029
97	0.06814972879
98	0.06814705507
99	0.06814674638
100	0.06813964882
101	0.06813752562
102	0.06813540971
103	0.06813409669
104	0.06813382328
105	0.06813350634
106	0.06813274355
107	0.06813159053
108	0.06812975485
109	0.06812805175
110	0.06812642776
111	0.06812579069
112	0.06812105133
113	0.06811766712
114	0.06811521782
115	0.06811101021
116	0.06810422433
117	0.06810036537
118	0.06809502535
119	0.06809332957
120	0.06809135288
121	0.06808888872
122	0.06808704834
123	0.06808341333
124	0.06808178941
125	0.06808076473
126	0.06807836004
127	0.06807678945
128	0.06807324096
129	0.06806972234
130	0.06806916927
131	0.0680678843
132	0.06806788393
133	0.06806537013
134	0.06806340614
135	0.06806103732
136	0.06805851672
137	0.06805592493
138	0.06805371342
139	0.06805135235
140	0.06805091658
141	0.06804994099
142	0.06804667124
143	0.06804656929
144	0.06804573126
145	0.06804384076
146	0.06804295483
147	0.06804176806
148	0.06803783534
149	0.06803445443
150	0.06803361662
151	0.06803321666
152	0.0680329258
153	0.06803199365
154	0.06803180113
155	0.06802605147
156	0.0680224498
157	0.06802059014
158	0.06801710574
159	0.06801685406
160	0.06801470026
161	0.06801266986
162	0.06801240092
163	0.0680102439
164	0.06800687709
165	0.06800687542
166	0.06800575178
167	0.06800329409
168	0.06800171267
169	0.06799911505
170	0.06799767832
171	0.0679922102
172	0.06799182352
173	0.06799016236
174	0.06798962454
175	0.0679888067
176	0.06798797176
177	0.06798725604
178	0.0679870301
179	0.06798554231
180	0.06798339299
181	0.06798267363
182	0.0679798698
183	0.06797806278
184	0.06797654626
185	0.06797395454
186	0.06797025753
187	0.06796990197
188	0.06796865916
189	0.06796864117
190	0.0679676932
191	0.06796584574
192	0.06796182103
193	0.06796009592
194	0.06795819068
195	0.06795763076
196	0.06795746606
197	0.06795696384
198	0.06795531404
199	0.06795392135
200	0.06795363636
201	0.06795209863
202	0.06795125567
203	0.06794822084
204	0.06794561558
205	0.06794380997
206	0.06794093392
207	0.06793881239
208	0.06793684114
209	0.06793450453
210	0.06793302166
211	0.06793239309
212	0.0679295497
213	0.06792931663
214	0.06792871874
215	0.06792631151
216	0.06792528852
217	0.06792227827
218	0.06792199141
219	0.06791958717
220	0.06791952648
221	0.06791723764
222	0.06791506397
223	0.06791283666
224	0.0679111472
225	0.06790951374
226	0.06790885119
227	0.06790759366
228	0.06790703512
229	0.06790473433
230	0.06790315363
231	0.06790263283
232	0.06790026082
233	0.06789791788
234	0.06789770278
235	0.06789757266
236	0.06789551115
237	0.06789391193
238	0.06788972758
239	0.06788856624
240	0.06788608217
241	0.06788492447
242	0.0678818133
243	0.06788072835
244	0.06788071643
245	0.06788015266
246	0.06787786793
247	0.06787481513
248	0.0678714661
249	0.06786948775
250	0.06786853065
251	0.06786773443
252	0.06786470333
253	0.06786383574
254	0.06786295766
255	0.0678618185
256	0.06786036857
257	0.06785928979
258	0.06785752996
259	0.06785588172
260	0.06785427386
261	0.06785313158
262	0.06785260346
263	0.06785125795
264	0.06785002471
265	0.0678451625
266	0.06784431278
267	0.06784203329
268	0.06784077652
269	0.06783963075
270	0.06783787226
271	0.06783707944
272	0.06783548107
273	0.06783383167
274	0.06783183459
275	0.06783180438
276	0.06782811725
277	0.0678267654
278	0.06782518323
279	0.067823951
280	0.06782307598
281	0.06782204738
282	0.06781856971
283	0.06781771656
284	0.06781674028
